Test Case ID,Module,Test Case Description,Steps,Expected Result,Actual Result,Comments
QC_62,Query Configuration,Verify that [NEG] adding a Form Field with an extremely long name is handled.,1. Enter a 500-char field name.,System either truncates or displays a validation length error.,,
QC_63,Query Configuration,Verify that [NEG] adding a Form Field with special characters is supported.,1. Enter name 'Field @#$%'.,System handles special characters without breaking the JSON structure.,,
QC_64,Query Configuration,Verify that the 'Table Columns' tab displays any newly added 'Form Fields'.,"1. Add a custom field 'Region'.
2. Switch to 'Table Columns' tab.",The field 'Region' appears as a selectable column checkbox.,,
QC_65,Query Configuration,Verify that checking a newly added 'Form Field' in 'Table Columns' works.,1. Check the newly added custom field checkbox.,The field is saved as a visible column.,,
QC_66,Query Configuration,Verify that the 'Default Sort' dropdown includes newly added custom fields.,1. Open 'Default Sort' dropdown in Table Columns tab.,Custom fields are listed as sortable options.,,
QC_67,Query Configuration,Verify that 'Table Columns' allows setting 'Created Date' as default sort.,1. Select 'Created Date' from Default Sort.,Sorting preference is updated.,,
QC_68,Query Configuration,Verify that 'Table Columns' allows setting 'Ascending' sort direction.,1. Select 'Ascending' direction.,Direction is saved successfully.,,
QC_69,Query Configuration,Verify that [NEG] a non-admin user cannot access the configuration page.,"1. Login as standard Agent.
2. Attempt to navigate to /ticket-config.",Access is denied or user is redirected to dashboard.,,
QC_70,Query Configuration,Verify that 'Save All Changes' button shows 'Saving...' state.,1. Click Save All Changes.,Button text changes to 'Saving...' and is disabled during API call.,,
QC_71,Query Configuration,Verify that 'Save All Changes' is only enabled when modifications exist.,"1. Observe button on initial load.
2. Edit any field.",Button transitions from disabled to enabled state.,,
QC_72,Query Configuration,Verify that navigating away without saving prompts a warning.,"1. Make a change.
2. Click 'Dashboard' in sidebar.",Browser/System prompt asks to 'Discard unsaved changes?'.,,
QC_73,Query Configuration,Verify that 'Form Fields' reordering persists across tab switches.,"1. Reorder fields.
2. Switch to 'Statuses' tab.
3. Switch back to 'Form Fields'.",The custom order is maintained.,,
QC_74,Query Configuration,Verify that 'Table Columns' checkboxes persist across tab switches.,"1. Check 3 columns.
2. Switch to 'Numbering'.
3. Switch back to 'Table Columns'.",The 3 columns remain checked.,,
QC_75,Query Configuration,Verify that 'Ticket Numbering' preview is responsive on narrow screens.,1. Resize browser to mobile width.,Preview box remains visible and readable.,,
QC_76,Query Configuration,Verify that changes for 'Auto12' do NOT affect other project configurations.,"1. Save changes for 'Auto12'.
2. Open 'Demo' project configuration.",Demo project settings remain in their original state.,,
QC_77,Query Configuration,Verify that deleting a Category also removes it from the Summary Panel.,"1. Delete a category.
2. Observe 'Configured Categories' on the right.",The category is removed from the summary immediately.,,
QC_78,Query Configuration,Verify that marking a Status as 'Default' removes default from previous status.,"1. Set 'In Progress' as Default.
2. Observe previous default status.",The 'Default' checkmark moves to the new status.,,
QC_79,Query Configuration,Verify that adding a Status with name 'New Status' generates code 'NEW_STATUS'.,1. Enter 'New Status' in modal.,Code field shows 'NEW_STATUS' auto-formatted.,,
QC_80,Query Configuration,Verify that the 'Last Modified' timestamp (if any) updates after Save.,"1. Save changes.
2. Observe project card or summary footer.",Timestamp reflects the current save time.,,
